분류,제품번호,제품명,규격,적재패턴,박스단위,파렛트단위,포장,박스규격(mm),,,"박스무게
 (kg)",적재 방향 제한,"파손
 취약성"
,,,,,,,,가로,세로,높이,,,
차음료,70941,(무라벨) 광동 밀싹보리차 330ml(PET),330ML,13박스*8단=104박스,20,2080,BOX,325,255,185,7.6,최상단 변경 가능,보통
차음료,70196,(무라벨) 광동 진한 헛개차330ml(PET),330ML,13박스*8단=104박스,20,2080,BOX,325,255,185,7.6,최상단 변경 가능,보통
차음료,70197,(무라벨) 광동 진한 헛개차330ml(PET_레드),330ML,13박스*8단=104박스,20,2080,BOX,325,255,185,7.6,최상단 변경 가능,보통
차음료,70857,(무라벨)옥수수수염차330ml(20입),330ML,13박스*8단=104박스,20,2080,BOX,325,255,185,7.6,최상단 변경 가능,보통
차음료,70821,(특판용)옥수수수염차340ml,340ML,15박스*8단=120박스,20,2400,BOX,325,255,185,7.6,최상단 변경 가능,보통
차음료,70873,(특판용)옥수수수염차340ml(11형),340ML,13박스*8단=104박스,20,2080,BOX,325,255,185,7.6,최상단 변경 가능,보통
차음료,70312,(특판용)헛개차340ml(11형),340ML,13박스*8단=104박스,20,2080,BOX,325,255,185,7.6,최상단 변경 가능,보통
차음료,70097,광동 진한 헛개차340ml(24입/PET),340ML,10박스*8단=80박스,24,1920,BOX,385,260,180,9,최상단 변경 가능,보통
차음료,70872,광동옥수수수염차340ml(11형),340ML,13박스*8단=104박스,20,2080,BOX,325,255,185,7.6,최상단 변경 가능,보통
차음료,70825,광동옥수수수염차340ml(편의점 24입),340ML,10박스*8단=80박스,24,1920,BOX,385,260,180,9,최상단 변경 가능,보통
차음료,71503,(무라벨) 광동 진한 헛개차490ml(PET_레드),490ML,12박스*6단=72박스,20,1440,BOX,355,280,215,10.9,최상단 변경 가능,보통
차음료,71502,(무라벨)광동옥수수수염차490ml(20입_그린),490ML,12박스*6단=72박스,20,1440,BOX,355,280,215,10.9,최상단 변경 가능,보통
차음료,71500,(무라벨)광동옥수수수염차500ml(20입),500ML,12박스*6단=72박스,20,1440,BOX,355,280,215,10.9,최상단 변경 가능,보통
차음료,71501,(무라벨)광동진한헛개차500ml,500ML,12박스*6단=72박스,20,1440,BOX,355,280,215,10.9,최상단 변경 가능,보통
차음료,70298,광동 진한 헛개차500ml(11형),500ML,12박스*6단=72박스,20,1440,BOX,355,280,215,10.9,최상단 변경 가능,보통
차음료,70099,광동 진한 헛개차500ml(24입/PET),500ML,10박스*6단=60박스,24,1440,BOX,265,405,225,13.08,최상단 변경 가능,보통
차음료,77727,광동돼지감자차500ml(pet)24입,500ML,10박스*6단=60박스,24,1440,BOX,265,405,225,13.08,최상단 변경 가능,보통
차음료,70943,광동밀싹보리차500ml,500ML,12박스*6단=72박스,20,1440,BOX,345,273,226,10.9,최상단 변경 가능,보통
차음료,70984,광동옥수수수염차500ml(11형),500ML,12박스*6단=72박스,20,1440,BOX,355,280,215,10.9,최상단 변경 가능,보통
차음료,70826,광동옥수수수염차500ml(편의점 24입),500ML,10박스*6단=60박스,24,1440,BOX,265,405,225,13.08,최상단 변경 가능,보통
차음료,70749,밀싹보리차500mL(24입),500ML,10박스*6단=60박스,24,1440,BOX,345,273,226,13.08,최상단 변경 가능,보통
차음료,71504,(무라벨)광동옥수수수염차620ml(20입),620ML,9박스*6단=54박스,20,1080,BOX,361,287,234,12.94,최상단 변경 가능,보통
커피,71176,카페드롭탑아메리카노(275NB캔),275ML,18박스*11단=198박스,12,2376,BOX,275,205,140,3.9,변경 불가,보통
커피,71178,카페드롭탑카페라떼(275NB캔),275ML,18박스*11단=198박스,12,2376,BOX,275,205,140,3.9,변경 불가,보통
